Meals,Cal/gm,Carbs,Fat,Protein,Sugar,Fiber,Type,Breakfast,Lunch,Dinner,Type1,Type2,Veg,Non-veg
Selmon wrap,207,21.7,8.09,11.7,1.24,1.8,Lunch,0,1,0,1,0,0,1
Curried chicken salad with apples,127.6,15.6,1.6,13.4,1.6,2,Breakfast,0,1,0,1,0,0,1
Vegetarian Black Bean Pasta,255,45,3,12,2,11.3,Lunch,0,1,0,0,1,1,0
Veggie Nicoise Salad,329,28,19,12,3,5,Dinner,0,0,1,0,1,1,0
Cumin Quinoa Patties (2 patties),235,28,10,8,2,5,Snack,1,0,0,0,1,1,0
Chana Dal Pancakes,104,11.3,4.7,4,7.3,3.3,Breakfast,1,0,0,1,0,1,0
Lettuce Cauliflower soup,50,3.9,2.8,2.3,1.2,1.7,Breakfast,1,0,0,1,0,1,0
Moong sprouts and Spring onion tikki (one),31,4.6,0.6,1.9,1.5,1.4,Lunch,0,1,0,0,1,1,0
Dahi Bhindi Subzi,43,5,1.4,2.5,7,1.3,Dinner,0,0,1,1,1,1,0
Khumbh palak,101,14.3,3.4,3.9,0.9,4,Dinner,0,0,1,1,1,1,0
karela juice (small glass),15,2.6,0.1,0.9,0,2.5,Snack,1,0,0,1,1,1,0
Garlicky Hummus (per tbsp),45,7.6,0.6,2.3,0,3.3,Breakfast,1,0,0,0,1,1,0
Buckwheat Dosa ,39,6.1,1,1.4,1.3,0.9,Lunch,0,1,0,1,0,1,0
Green Peas paratha,60,26,1.2,2.4,1,0.8,Lunch,0,1,0,1,0,1,0
Stuffed Nachni roti,95,12.9,4.1,2,2.3,2.7,Dinner,0,0,1,1,1,1,0
Stuffed Bajra roti,257,35.4,8.7,9.5,2.6,6,Dinner,0,0,1,1,1,1,0
Tomato Methi rice,207,37.7,4,4.8,5.3,4.1,Lunch,0,1,0,0,1,1,0
"Bajra, whole Moong and green pea khichdi",142,21.4,3.3,6.6,2.8,5.9,Lunch,0,1,0,0,1,1,0
Vegetable bulgur wheat khichdi,174,32.2,3.2,3.9,0.9,2,Dinner,0,0,1,1,1,1,0
Adai ,32,5.1,0.7,1.3,1,0.5,Snack,1,0,0,0,1,1,0
Oats Dosa,144,17,6.2,5.4,0,3,Snack,1,0,0,1,0,1,0
Bitter gourd Tikki ( per Tiiki),75,11.5,2.4,3.6,0,2.5,Snack,1,0,0,1,1,1,0
Carrot Cucumber And Rajma Salad,47,9.1,0.3,2.1,0,2.9,Lunch,0,1,0,0,1,1,0
Bean Sprouts and capsicum salad,57,3.4,4.3,2.2,9,1.1,Snack,1,0,0,0,1,1,0
Mint and Lemon Tea (per glass),2,0.4,0,0.1,9,0.2,Breakfast,1,0,0,1,1,1,0
Neem Juice (per glass),15,2.7,0.1,0.8,0,0.7,Breakfast,1,0,0,1,1,1,0
Mini oats bhakri pizza ,92,16,2,3.3,7.3,3.4,Lunch,0,1,0,1,0,1,0
Veg Whole wheat burrito,93,16.6,1.6,3.5,7.9,2.9,Dinner,0,0,1,1,0,1,0
Paneer Veg Wrap,181,24.3,6.4,7.2,3.7,3.6,Lunch,0,1,0,1,1,1,0
